time-step,"(number of users, latencies)"
1,"(50, 0.0)"
11,"(50, 0.7396812314239699)"
21,"(50, 0.739558925701507)"
31,"(50, 0.7392122174253146)"
41,"(50, 0.7692511111272602)"
51,"(50, 0.2098276087287543)"
61,"(50, 0.22303985141591734)"
71,"(50, 0.17448444795706347)"
81,"(50, 0.23998522927485744)"
91,"(50, 0.4487512380416305)"
101,"(50, 0.3729112729745409)"
111,"(50, 0.41787950745415187)"
121,"(50, 0.41307658473055914)"
131,"(50, 0.13811860991769465)"
141,"(50, 0.2161109256087873)"
151,"(50, 0.18489915406095464)"
161,"(50, 0.2271560595516532)"
171,"(50, 0.23342333757063563)"
181,"(49, 0.24239125300068776)"
191,"(49, 0.20180641554055154)"
201,"(49, 0.2627730872800578)"
211,"(49, 0.21391915787307061)"
221,"(49, 0.20665392222872422)"
231,"(49, 0.21123549709931455)"
241,"(48, 0.1998312991654229)"
251,"(47, 0.21418905210682637)"
261,"(46, 0.17501448637893863)"
271,"(45, 0.22478055386155332)"
281,"(45, 0.19470823282998925)"
291,"(43, 0.13493621775785783)"
301,"(41, 0.17709290505692085)"
311,"(41, 0.17300002557151165)"
321,"(41, 0.10475093332138487)"
331,"(41, 0.15917717878432874)"
341,"(40, 0.24513005119247105)"
351,"(40, 0.25866657640925145)"
361,"(39, 0.27733610489522637)"
371,"(38, 0.2373000501139645)"
381,"(38, 0.22877544638684535)"
391,"(38, 0.25388720447484286)"
401,"(36, 0.2377657111920839)"
411,"(36, 0.2659662228084138)"
421,"(36, 0.35739212150260496)"
431,"(35, 0.1320059060969286)"
441,"(35, 0.11480925927650189)"
451,"(35, 0.08884410581307506)"
461,"(33, 0.12936645589062434)"
471,"(32, 0.14424940081597287)"
481,"(32, 0.1598144572809061)"
491,"(32, 0.23743527939438178)"
501,"(30, 0.2805272257436861)"
511,"(29, 0.2858060717835043)"
521,"(29, 0.2029262127627005)"
531,"(28, 0.2139284710916615)"
541,"(25, 0.18530073363132313)"
551,"(24, 0.20658559638745952)"
561,"(22, 0.22474488462288014)"
571,"(22, 0.23982302686964554)"
581,"(21, 0.2062591254782689)"
591,"(19, 0.3092480575105137)"
601,"(19, 0.2863505575562088)"
611,"(18, 0.2523696228206409)"
621,"(17, 0.17009158615707418)"
631,"(16, 0.2856672044381185)"
641,"(16, 0.333323718851907)"
651,"(16, 0.30585666532204897)"
661,"(15, 0.18860320410385648)"
671,"(14, 0.17086669782346378)"
681,"(13, 0.22824331432162778)"
691,"(13, 0.23360772110797637)"
701,"(12, 0.2423900308951437)"
711,"(10, 0.21784563123233464)"
721,"(10, 0.2113423096985519)"
731,"(10, 0.17726130454692796)"
741,"(10, 0.1974987833548472)"
751,"(10, 0.2344961197975511)"
761,"(9, 0.29185248177198886)"
771,"(7, 0.28381609399020447)"
781,"(6, 0.20492643505268537)"
791,"(6, 0.2843580158917985)"
801,"(6, 0.2843580158917985)"
811,"(5, 0.23548967377570804)"
821,"(5, 0.1104513398994579)"
831,"(4, 0.26269678085212955)"
841,"(4, 0.26269678085212955)"
851,"(3, 0.09244986278553337)"
861,"(1, 0.267963413265908)"
871,"(1, 0.267963413265908)"
