time-step,number of users,used cloudlets,used cpu,used storage,used ram
1,100,5,99.45009615384615,96.8912607046274,99.39095912835536
61,100,5,99.45009615384615,96.8912607046274,99.39095912835536
121,100,8,98.6531217948718,95.02451171875,98.8784672663762
181,100,8,98.6531217948718,95.02451171875,98.8784672663762
241,100,8,98.6531217948718,95.02451171875,98.8784672663762
301,98,8,98.55135897435898,95.01938805213341,98.74938573592749
361,92,9,97.88698076923077,94.38109616010617,98.15758729592348
421,81,7,98.71048717948717,95.64331430288462,98.92624292618189
481,75,7,98.50689102564102,95.6362789838742,98.73384524614383
541,69,7,98.25027564102564,95.6250957782452,98.44535240760216
601,58,6,98.43098717948718,96.24627669896834,98.57502081455328
661,40,4,99.01841666666667,97.50093540289463,99.13507314828726
721,26,3,99.07041025641026,98.11649342072316,99.1175294533754
781,12,3,98.53681410256411,98.09517196264022,98.55755928235176
841,4,2,98.84592307692307,98.72193666115786,98.83103199494191
