time-step,number of users,number of winners,prices
1,32,29,7865.899999999999
61,43,42,5783.349999999999
121,72,65,16298.720000000001
181,86,59,20982.89
241,97,65,16544.850000000002
301,100,58,13778.620000000003
361,100,61,19024.690000000002
421,100,45,19217.36
481,100,77,18953.120000000003
541,100,68,18123.540000000005
601,100,55,14838.68
661,95,75,17429.079999999998
721,82,61,14883.559999999998
781,62,50,4175.16
841,51,49,10148.099999999999
901,46,38,8274.400000000001
961,38,33,777.03
1021,36,33,1600.28
1081,19,19,0
1141,15,15,4566.509999999999
1201,12,12,0
1261,9,9,0
