time-step,number of users,exec time,pricing time,two-phases time
1,32,1.6803867816925049,0.12428522109985352,"[0.01542973518371582, 1.664546251296997]"
61,49,3.1664466857910156,0.3435556888580322,"[0.03609943389892578, 3.129861354827881]"
121,69,6.862292051315308,0.3118476867675781,"[0.032384634017944336, 6.82948112487793]"
181,91,8.6299409866333,0.44736456871032715,"[0.040683746337890625, 8.588774681091309]"
241,100,11.240756273269653,0.43848681449890137,"[0.031271934509277344, 11.209041833877563]"
301,98,11.399171590805054,0.4246664047241211,"[0.037331342697143555, 11.361332416534424]"
361,91,10.283480644226074,0.4289424419403076,"[0.03626537322998047, 10.246778011322021]"
421,80,8.218968868255615,0.304445743560791,"[0.027863264083862305, 8.190654754638672]"
481,74,6.1552512645721436,0.46926164627075195,"[0.03537631034851074, 6.119422435760498]"
541,61,6.232097148895264,0.1874547004699707,"[0.016391277313232422, 6.215248346328735]"
601,45,4.538612604141235,0.13153648376464844,"[0.013757705688476562, 4.524429798126221]"
661,40,4.154418230056763,0.10237503051757812,"[0.011441469192504883, 4.142529487609863]"
721,30,2.325449228286743,0.057105302810668945,"[0.00674748420715332, 2.3182435035705566]"
781,12,0.553215503692627,0.12496519088745117,"[0.010475397109985352, 0.5423226356506348]"
841,3,0.14341115951538086,0.0046803951263427734,"[0.0015723705291748047, 0.14143919944763184]"
